OS	Type	FileSystem	Size	Compress	Encryption	Cluster	Format	Arch	Cores	Memory	Locale	Protocol	Port
Linux	~Single	ext4	100	Off	None	1000	Quick	arm64	4	4096	en-US	TCP	80
Linux	Primary	Btrfs	10	Off	AES128	10	~Corrupt	riscv	2	512	ar-EG	TCP	8080
FreeBSD	Primary	ZFS	100	On	None	100	~Corrupt	riscv	1	4096	ja-JP	QUIC	443
FreeBSD	Primary	ZFS	1000	On	None	1000	Quick	riscv	16	1024	en-US	UDP	~0
FreeBSD	Spanned	ZFS	5000	On	None	10	~Corrupt	x64	1	512	de-DE	TCP	8080
Windows	~Single	NTFS	10	Off	None	20000	Quick	riscv	8	4096	zh-CN	TCP	80
macOS	~Single	APFS	100	Off	None	100	Quick	riscv	8	1024	en-US	UDP	443
macOS	Spanned	FAT	100	Off	None	20000	Quick	x64	1	1024	ja-JP	TCP	~0
Windows	Primary	NTFS	10	On	AES128	100	Full	riscv	1	16384	en-US	UDP	80
FreeBSD	Primary	ZFS	10	Off	AES128	100	Quick	x86	16	4096	de-DE	TCP	~0
macOS	Spanned	APFS	20000	On	None	5000	Full	riscv	4	4096	ar-EG	UDP	80
macOS	Logical	APFS	1000	Off	None	10	Full	x86	16	16384	de-DE	UDP	~0
FreeBSD	Logical	Btrfs	5000	On	None	5000	Full	riscv	1	512	ar-EG	QUIC	443
Linux	Spanned	FAT	10	Off	None	5000	Quick	arm64	8	4096	zh-CN	UDP	8080
Windows	Primary	NTFS	5000	On	~Weak	1000	Full	x64	8	4096	de-DE	UDP	80
Linux	Logical	FAT	5000	On	None	1000	~Corrupt	arm64	4	1024	en-US	QUIC	443
FreeBSD	Primary	ZFS	100	On	~Weak	20000	Quick	x64	2	512	en-US	UDP	80
Windows	Spanned	NTFS	10	On	None	20000	Full	x86	1	1024	de-DE	UDP	~0
Linux	Primary	ext4	100	Off	~Weak	10	Quick	arm64	16	16384	ar-EG	TCP	8080
Linux	Logical	ext4	1000	Off	None	10	Quick	x64	2	16384	en-US	QUIC	443
Windows	Primary	NTFS	100	Off	~Weak	100	Full	riscv	4	1024	zh-CN	UDP	80
Linux	~Single	Btrfs	5000	On	None	10	Full	arm64	2	512	ja-JP	UDP	443
FreeBSD	Spanned	ZFS	1000	Off	None	20000	~Corrupt	x86	8	16384	en-US	TCP	80
macOS	Spanned	APFS	5000	On	None	20000	Quick	riscv	4	16384	zh-CN	QUIC	443
Linux	Spanned	ext4	20000	On	None	5000	Quick	x86	2	512	de-DE	TCP	80
Linux	Primary	Btrfs	1000	Off	~Weak	1000	Full	arm64	2	512	ja-JP	QUIC	443
macOS	Primary	Btrfs	20000	On	~Weak	1000	Full	x64	8	16384	ar-EG	UDP	80
Windows	Logical	NTFS	100	Off	None	1000	Quick	riscv	1	4096	ar-EG	TCP	~0
Linux	~Single	ext4	20000	On	None	20000	Quick	arm64	4	16384	ar-EG	QUIC	443
macOS	Primary	Btrfs	1000	On	AES256	100	~Corrupt	x86	1	16384	de-DE	TCP	80
macOS	Primary	APFS	10	Off	AES128	100	~Corrupt	x64	16	4096	ar-EG	QUIC	443
Linux	Logical	ext4	20000	On	None	10	Quick	arm64	8	4096	de-DE	UDP	~0
Linux	Primary	ext4	20000	On	AES128	20000	Full	x86	1	512	ja-JP	QUIC	443
FreeBSD	Primary	ZFS	20000	On	AES256	1000	~Corrupt	x86	1	512	en-US	UDP	8080
Linux	Spanned	ext4	10	On	None	1000	Full	arm64	4	16384	en-US	UDP	~0
FreeBSD	Primary	ZFS	5000	On	AES256	20000	Quick	x64	8	1024	ja-JP	QUIC	443
Linux	Primary	ext4	5000	On	AES128	100	~Corrupt	arm64	8	1024	ja-JP	TCP	80
macOS	Primary	APFS	10	Off	AES256	1000	~Corrupt	x86	16	1024	zh-CN	UDP	8080
macOS	Logical	APFS	20000	On	None	5000	Quick	riscv	2	512	ja-JP	TCP	~0
macOS	Primary	FAT	1000	On	AES256	5000	Quick	riscv	2	1024	zh-CN	UDP	80
Windows	Primary	NTFS	1000	On	AES256	100	Quick	x64	16	4096	ja-JP	TCP	~0
Windows	Primary	NTFS	10	Off	~Weak	20000	Full	x86	2	16384	ja-JP	UDP	443
Linux	Primary	ext4	10	Off	~Weak	100	Full	x64	1	512	zh-CN	TCP	8080
FreeBSD	Logical	ZFS	100	Off	None	10	Full	x64	16	1024	zh-CN	QUIC	443
Linux	Primary	FAT	10	Off	AES256	1000	~Corrupt	arm64	2	512	de-DE	TCP	80
macOS	Spanned	APFS	20000	On	None	5000	Full	x64	1	16384	en-US	UDP	~0
macOS	Primary	APFS	1000	Off	AES128	100	Quick	riscv	2	512	en-US	QUIC	443
Windows	~Single	NTFS	10	Off	None	10	Quick	x86	16	4096	ja-JP	UDP	80
Linux	Primary	FAT	20000	On	AES128	1000	~Corrupt	arm64	16	1024	ar-EG	UDP	80
Windows	Logical	Btrfs	1000	Off	None	5000	Full	x86	4	4096	zh-CN	TCP	~0
macOS	~Single	APFS	100	On	None	10	Quick	x86	2	512	de-DE	QUIC	443
FreeBSD	Primary	ZFS	1000	On	AES128	5000	~Corrupt	x64	4	16384	ar-EG	QUIC	443
Windows	Primary	Btrfs	20000	On	AES256	10	~Corrupt	x64	1	512	ja-JP	TCP	80
Linux	Primary	ext4	5000	On	~Weak	20000	Full	arm64	1	512	en-US	UDP	8080
Windows	Primary	NTFS	100	Off	AES128	1000	~Corrupt	x64	8	1024	ja-JP	QUIC	443
macOS	Logical	Btrfs	100	On	None	10	Full	riscv	8	4096	de-DE	TCP	80
Windows	~Single	FAT	20000	On	None	100	Full	x86	2	4096	ar-EG	QUIC	443
Windows	Primary	FAT	1000	Off	AES128	20000	Quick	riscv	8	16384	ar-EG	UDP	~0
Windows	Logical	NTFS	20000	On	None	1000	Full	x86	8	16384	ja-JP	QUIC	443
Windows	Spanned	NTFS	1000	Off	None	5000	~Corrupt	riscv	1	512	en-US	TCP	80
Linux	Spanned	FAT	1000	On	None	1000	Full	arm64	4	4096	ar-EG	TCP	80
Windows	Logical	NTFS	5000	On	None	100	~Corrupt	riscv	2	4096	de-DE	UDP	8080
Windows	Spanned	Btrfs	100	On	None	20000	Full	x64	16	4096	ar-EG	QUIC	443
macOS	Primary	APFS	1000	On	AES256	5000	Quick	x86	8	4096	ar-EG	UDP	8080
Linux	Primary	Btrfs	5000	On	~Weak	100	Full	arm64	8	16384	zh-CN	QUIC	443
FreeBSD	Logical	FAT	5000	On	None	20000	Full	x64	2	512	zh-CN	TCP	~0
FreeBSD	Primary	FAT	100	On	~Weak	1000	Full	riscv	1	16384	zh-CN	TCP	8080
FreeBSD	~Single	FAT	100	On	None	20000	Quick	x64	16	16384	en-US	UDP	8080
FreeBSD	Primary	ZFS	10	On	~Weak	10	Full	x64	8	4096	ja-JP	UDP	8080
FreeBSD	Primary	FAT	10	On	AES128	100	~Corrupt	x86	4	1024	ja-JP	TCP	443
FreeBSD	Spanned	Btrfs	10	On	None	1000	Quick	x64	16	1024	en-US	TCP	443
macOS	Primary	APFS	100	On	AES256	5000	Full	x64	8	1024	ja-JP	TCP	~0
macOS	Spanned	APFS	10	On	None	20000	Quick	riscv	8	16384	de-DE	TCP	8080
macOS	~Single	APFS	10	Off	None	10	Quick	x64	1	512	zh-CN	UDP	80
macOS	Spanned	APFS	1000	On	None	100	Full	x64	4	1024	zh-CN	TCP	~0
Windows	Logical	NTFS	20000	On	None	10	~Corrupt	riscv	16	4096	en-US	TCP	80
macOS	Primary	APFS	1000	On	~Weak	1000	Quick	riscv	4	4096	en-US	UDP	443
macOS	Primary	Btrfs	100	On	AES128	10	Quick	x86	2	16384	ar-EG	TCP	~0
Linux	Logical	ext4	5000	On	None	1000	Quick	riscv	16	16384	de-DE	QUIC	443
Linux	Spanned	ext4	5000	On	None	1000	Quick	arm64	1	512	ja-JP	TCP	~0
Linux	Primary	ext4	10	Off	AES128	5000	Full	riscv	2	1024	de-DE	TCP	~0
FreeBSD	Logical	Btrfs	100	On	None	5000	~Corrupt	riscv	2	1024	en-US	UDP	8080
macOS	Spanned	APFS	10	On	None	5000	Quick	x64	1	4096	ja-JP	UDP	443
FreeBSD	Primary	ZFS	1000	On	~Weak	20000	Quick	x64	1	1024	de-DE	TCP	443
Linux	~Single	ext4	1000	On	None	1000	Quick	x86	16	16384	ar-EG	UDP	8080
macOS	Primary	Btrfs	5000	On	AES256	5000	Full	x64	4	4096	de-DE	TCP	8080
macOS	Spanned	APFS	20000	On	None	20000	Quick	x86	16	4096	ar-EG	TCP	~0
Linux	Primary	Btrfs	1000	On	AES128	10	Quick	arm64	4	4096	ja-JP	TCP	~0
FreeBSD	Logical	ZFS	1000	Off	None	100	Full	riscv	1	16384	ja-JP	UDP	443
FreeBSD	~Single	ZFS	5000	On	None	1000	Full	x86	1	1024	zh-CN	TCP	8080
Linux	Primary	FAT	20000	On	AES128	5000	Full	arm64	2	16384	en-US	TCP	~0
Windows	Spanned	NTFS	5000	On	None	10	Quick	x64	16	16384	zh-CN	TCP	80
Windows	Primary	FAT	20000	On	~Weak	5000	Quick	riscv	2	512	de-DE	UDP	443
FreeBSD	Logical	ZFS	20000	On	None	5000	~Corrupt	x86	1	1024	ar-EG	TCP	8080
Linux	Primary	ext4	1000	On	AES128	10	Quick	x64	1	4096	ar-EG	TCP	~0
Windows	Primary	NTFS	100	On	AES256	10	Quick	x86	4	16384	en-US	TCP	8080
macOS	Logical	FAT	100	On	None	20000	Quick	x86	8	4096	zh-CN	QUIC	443
Linux	Primary	ext4	5000	On	AES256	5000	~Corrupt	arm64	1	4096	en-US	QUIC	443
Linux	Primary	FAT	10	On	~Weak	10	Full	arm64	16	4096	ja-JP	TCP	80
FreeBSD	Primary	ZFS	10	On	AES256	100	~Corrupt	x64	16	16384	en-US	QUIC	443
macOS	~Single	APFS	5000	On	None	1000	Quick	x64	8	16384	ar-EG	TCP	80
Linux	Logical	ext4	20000	On	None	10	~Corrupt	arm64	1	512	ar-EG	TCP	80
macOS	Primary	APFS	5000	On	AES256	100	Full	riscv	16	16384	ar-EG	TCP	8080
macOS	Logical	FAT	20000	On	None	20000	Full	x64	4	1024	de-DE	TCP	80
Linux	Primary	ext4	20000	On	~Weak	1000	Quick	riscv	2	512	ar-EG	TCP	443
FreeBSD	Primary	ZFS	5000	On	~Weak	1000	Quick	x86	16	4096	ja-JP	QUIC	443
macOS	Logical	APFS	100	Off	None	20000	Full	riscv	4	4096	en-US	TCP	~0
FreeBSD	Primary	ZFS	20000	On	AES128	10	Quick	riscv	2	512	ja-JP	TCP	~0
Linux	Primary	ext4	1000	On	~Weak	20000	Full	arm64	8	16384	zh-CN	TCP	80
Windows	Primary	NTFS	100	On	AES256	20000	Quick	riscv	2	512	de-DE	TCP	~0
Windows	Logical	NTFS	20000	On	None	10	Quick	x64	4	4096	ja-JP	TCP	8080
macOS	Primary	APFS	5000	On	None	5000	~Corrupt	x86	4	4096	de-DE	TCP	80
Windows	~Single	FAT	10	On	None	10	Quick	x64	4	1024	zh-CN	TCP	8080
Windows	~Single	Btrfs	20000	On	None	1000	Quick	x86	2	16384	de-DE	UDP	80
Linux	Spanned	FAT	100	On	None	100	Full	x86	8	4096	de-DE	TCP	~0
Linux	Primary	Btrfs	100	On	~Weak	5000	Quick	arm64	4	1024	ar-EG	TCP	8080
macOS	Primary	APFS	10	On	~Weak	20000	Quick	x64	4	1024	ar-EG	QUIC	443
Windows	~Single	NTFS	5000	On	None	100	Quick	riscv	1	512	ja-JP	QUIC	443
Linux	Primary	ext4	10	Off	None	10	Full	arm64	8	4096	ar-EG	QUIC	443
FreeBSD	Spanned	ZFS	1000	On	None	5000	Quick	x64	2	1024	ar-EG	TCP	~0
Linux	Spanned	Btrfs	20000	On	None	100	Quick	arm64	1	512	zh-CN	TCP	~0
Windows	Primary	NTFS	5000	On	AES128	20000	Full	x64	2	4096	ar-EG	TCP	80
Windows	Primary	NTFS	10	On	None	5000	Quick	x64	2	512	de-DE	QUIC	443
FreeBSD	~Single	ZFS	10	On	None	1000	Quick	riscv	1	16384	zh-CN	QUIC	443
Linux	~Single	ext4	20000	On	None	100	Quick	x86	16	4096	zh-CN	TCP	8080
macOS	~Single	APFS	5000	On	None	10	Quick	riscv	16	4096	en-US	TCP	8080
macOS	Spanned	APFS	5000	On	None	1000	Full	x86	1	512	ar-EG	TCP	8080
Linux	~Single	Btrfs	10	On	None	20000	Quick	arm64	1	512	de-DE	QUIC	443
Windows	~Single	NTFS	1000	Off	None	20000	Quick	x86	2	1024	zh-CN	TCP	80
FreeBSD	Primary	ZFS	10	On	AES128	20000	Quick	x86	1	512	en-US	TCP	8080
Windows	Spanned	NTFS	1000	On	None	1000	~Corrupt	riscv	4	4096	ja-JP	QUIC	443
Linux	Primary	ext4	20000	On	AES256	5000	~Corrupt	x64	2	512	zh-CN	TCP	8080
FreeBSD	Primary	ZFS	100	On	AES256	5000	~Corrupt	riscv	8	1024	en-US	QUIC	443
macOS	Logical	FAT	100	Off	None	100	Quick	riscv	1	512	en-US	TCP	8080
Linux	Spanned	FAT	100	On	None	20000	~Corrupt	riscv	16	1024	ja-JP	TCP	8080
FreeBSD	Primary	ZFS	10	On	AES256	100	Full	x86	1	1024	zh-CN	TCP	~0
Windows	Spanned	NTFS	20000	On	None	10	~Corrupt	x86	2	16384	en-US	QUIC	443
Linux	Primary	ext4	1000	On	AES256	10	Quick	x64	16	1024	de-DE	TCP	80
Linux	Primary	Btrfs	5000	On	AES128	1000	Quick	arm64	8	4096	ja-JP	TCP	8080
FreeBSD	Primary	ZFS	20000	On	AES128	10	Quick	x86	4	1024	zh-CN	UDP	443
Linux	Primary	ext4	100	On	~Weak	100	Quick	x64	2	512	ja-JP	QUIC	443
macOS	Primary	APFS	100	On	AES128	100	Quick	x64	4	1024	de-DE	QUIC	443
FreeBSD	~Single	ZFS	20000	On	None	5000	Quick	x64	1	512	ja-JP	TCP	80
macOS	Primary	APFS	20000	On	AES256	20000	~Corrupt	x86	4	1024	en-US	QUIC	443
macOS	Spanned	APFS	20000	On	None	100	Quick	x86	2	16384	en-US	TCP	80
macOS	Logical	APFS	1000	On	None	1000	Quick	x64	1	512	ar-EG	TCP	8080
Linux	Primary	Btrfs	20000	On	~Weak	20000	Quick	arm64	16	1024	en-US	UDP	80
Linux	Primary	ext4	10	On	AES256	20000	Quick	arm64	4	1024	ja-JP	UDP	~0
FreeBSD	Primary	Btrfs	1000	On	~Weak	10	Quick	riscv	2	4096	zh-CN	TCP	80
Linux	Primary	ext4	1000	On	AES256	20000	Quick	arm64	2	512	en-US	TCP	8080
Windows	~Single	NTFS	1000	On	None	100	Quick	riscv	8	16384	ar-EG	QUIC	443
FreeBSD	Primary	ZFS	5000	On	~Weak	100	Quick	riscv	4	16384	en-US	TCP	80
FreeBSD	Primary	Btrfs	20000	On	AES256	100	Quick	riscv	8	1024	ar-EG	TCP	80
Linux	Primary	ext4	100	On	AES256	1000	Quick	x86	8	1024	de-DE	TCP	~0
Linux	~Single	Btrfs	20000	On	None	20000	Quick	riscv	8	1024	en-US	TCP	80
Linux	Primary	ext4	10	On	AES128	5000	Quick	arm64	16	16384	zh-CN	TCP	~0
Linux	Primary	ext4	20000	On	~Weak	5000	Quick	riscv	8	4096	en-US	TCP	80
Linux	Primary	ext4	100	On	AES128	100	Quick	x64	4	16384	en-US	TCP	8080
macOS	Primary	APFS	5000	On	AES256	5000	Quick	x86	2	4096	de-DE	TCP	80
FreeBSD	Primary	FAT	100	On	AES128	100	Quick	x86	4	4096	zh-CN	QUIC	443
Windows	Primary	NTFS	10	On	~Weak	1000	Quick	x86	16	1024	en-US	TCP	8080
Windows	~Single	NTFS	5000	On	None	1000	Quick	x86	4	1024	de-DE	TCP	80
FreeBSD	Primary	ZFS	1000	On	~Weak	5000	Quick	x86	1	512	zh-CN	TCP	80
FreeBSD	~Single	ZFS	100	On	None	100	Quick	x86	1	4096	zh-CN	TCP	80
macOS	Primary	APFS	10	On	AES256	10	Quick	x86	8	1024	en-US	QUIC	443
Linux	Primary	Btrfs	20000	On	~Weak	20000	Quick	arm64	1	16384	ja-JP	TCP	80
Linux	~Single	Btrfs	100	On	None	1000	Quick	x86	1	512	ar-EG	TCP	80
Windows	Primary	Btrfs	5000	On	AES256	1000	Quick	x86	16	1024	ja-JP	TCP	80
Linux	Primary	FAT	100	On	~Weak	10	Quick	arm64	8	4096	de-DE	TCP	80
Linux	Spanned	ext4	100	On	None	5000	Quick	arm64	16	1024	de-DE	QUIC	443
Linux	Logical	ext4	5000	On	None	100	Quick	riscv	4	1024	ja-JP	QUIC	443
macOS	Logical	APFS	20000	On	None	1000	Quick	x86	2	1024	zh-CN	QUIC	443
Windows	Primary	FAT	5000	On	~Weak	20000	Quick	x86	4	1024	ar-EG	TCP	80
Linux	~Single	FAT	1000	On	None	5000	Quick	arm64	8	1024	de-DE	TCP	8080
FreeBSD	Logical	FAT	1000	On	None	5000	Quick	x86	16	4096	ja-JP	TCP	80
FreeBSD	Primary	ZFS	1000	On	AES256	20000	Quick	x86	4	4096	de-DE	TCP	~0
Windows	Primary	FAT	1000	On	~Weak	100	Quick	x86	16	1024	de-DE	TCP	8080
Linux	Spanned	ext4	1000	On	None	20000	Quick	x86	1	512	en-US	TCP	~0
